target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2015-03,2015-03-09,0.387193,
2015-03,2015-03-10,0.387193,
2015-03,2015-03-11,0.387193,
2015-03,2015-03-12,0.387193,
2015-03,2015-03-13,0.387193,
2015-03,2015-03-16,0.369871,
2015-03,2015-03-17,0.369871,
2015-03,2015-03-18,0.369871,
2015-03,2015-03-19,0.369871,
2015-03,2015-03-20,0.369871,
2015-03,2015-03-23,0.355386,
2015-03,2015-03-24,0.355386,
2015-03,2015-03-25,0.355386,
2015-03,2015-03-26,0.355386,
2015-03,2015-03-27,0.347845,
2015-03,2015-03-30,0.347845,
2015-03,2015-03-31,0.347845,
2015-03,2015-04-01,0.347845,
2015-03,2015-04-02,0.347845,
2015-03,2015-04-03,0.347845,
2015-03,2015-04-06,0.347845,
2015-03,2015-04-07,0.347845,
2015-03,2015-04-08,0.347845,
2015-03,2015-04-09,0.347845,
2015-03,2015-04-10,0.347845,
2015-03,2015-04-13,0.347845,
2015-04,2015-04-01,-0.115801,
2015-04,2015-04-02,-0.03508,
2015-04,2015-04-03,-0.03508,
2015-04,2015-04-06,-0.031424,
2015-04,2015-04-07,-0.031424,
2015-04,2015-04-08,-0.031424,
2015-04,2015-04-09,-0.031424,
2015-04,2015-04-10,-0.031424,
2015-04,2015-04-13,-0.031424,
2015-04,2015-04-14,-0.035848,
2015-04,2015-04-15,-0.035848,
2015-04,2015-04-16,-0.035848,
2015-04,2015-04-17,-0.031106,
2015-04,2015-04-20,0.01088,
2015-04,2015-04-21,0.01088,
2015-04,2015-04-22,0.01088,
2015-04,2015-04-23,0.01088,
2015-04,2015-04-24,0.01088,
2015-04,2015-04-27,0.068717,
2015-04,2015-04-28,0.068717,
2015-04,2015-04-29,0.068717,
2015-04,2015-04-30,0.068717,
2015-04,2015-05-01,0.068717,
2015-04,2015-05-04,0.068717,
2015-04,2015-05-05,0.068717,
2015-04,2015-05-06,0.068717,
2015-04,2015-05-07,0.068717,
2015-04,2015-05-08,0.068717,
2015-04,2015-05-11,0.068717,
2015-04,2015-05-12,0.068717,
2015-04,2015-05-13,0.068717,
2015-04,2015-05-14,0.068717,
2015-04,2015-05-15,0.068717,
2015-04,2015-05-18,0.068717,
2015-04,2015-05-19,0.068717,
2015-05,2015-05-01,0.262526,
2015-05,2015-05-04,0.271192,
2015-05,2015-05-05,0.460411,
2015-05,2015-05-06,0.460411,
2015-05,2015-05-07,0.460411,
2015-05,2015-05-08,0.460411,
2015-05,2015-05-11,0.460411,
2015-05,2015-05-12,0.483471,
2015-05,2015-05-13,0.483471,
2015-05,2015-05-14,0.483471,
2015-05,2015-05-15,0.483471,
2015-05,2015-05-18,0.483471,
2015-05,2015-05-19,0.520195,
2015-05,2015-05-20,0.520195,
2015-05,2015-05-21,0.520195,
2015-05,2015-05-22,0.525005,
2015-05,2015-05-26,0.55617,
2015-05,2015-05-27,0.55617,
2015-05,2015-05-28,0.55617,
2015-05,2015-05-29,0.55617,
2015-05,2015-06-01,0.55617,
2015-05,2015-06-02,0.55617,
2015-05,2015-06-03,0.55617,
2015-05,2015-06-04,0.55617,
2015-05,2015-06-05,0.55617,
2015-05,2015-06-08,0.55617,
2015-05,2015-06-09,0.55617,
2015-05,2015-06-10,0.55617,
2015-05,2015-06-11,0.55617,
2015-05,2015-06-12,0.55617,
2015-05,2015-06-15,0.55617,
2015-06,2015-06-01,0.063944,
2015-06,2015-06-02,0.274781,
2015-06,2015-06-03,0.274781,
2015-06,2015-06-04,0.274781,
2015-06,2015-06-05,0.274781,
2015-06,2015-06-08,0.274781,
2015-06,2015-06-09,0.274781,
2015-06,2015-06-10,0.274781,
2015-06,2015-06-11,0.274781,
2015-06,2015-06-12,0.274781,
2015-06,2015-06-15,0.303323,
2015-06,2015-06-16,0.303323,
2015-06,2015-06-17,0.281421,
2015-06,2015-06-18,0.281421,
2015-06,2015-06-19,0.286524,
2015-06,2015-06-22,0.286524,
2015-06,2015-06-23,0.286524,
2015-06,2015-06-24,0.286524,
2015-06,2015-06-25,0.286524,
2015-06,2015-06-26,0.286598,
2015-06,2015-06-29,0.286598,
2015-06,2015-06-30,0.286598,
2015-06,2015-07-01,0.286598,
2015-06,2015-07-02,0.286598,
2015-06,2015-07-03,0.286598,
2015-06,2015-07-06,0.286598,
2015-06,2015-07-07,0.286598,
2015-06,2015-07-08,0.286598,
2015-06,2015-07-09,0.286598,
2015-06,2015-07-10,0.286598,
2015-06,2015-07-13,0.286598,
2015-07,2015-07-01,0.025584,
2015-07,2015-07-02,0.066522,
2015-07,2015-07-03,0.066522,
2015-07,2015-07-06,0.026959,
2015-07,2015-07-07,0.16377,
2015-07,2015-07-08,0.16377,
2015-07,2015-07-09,0.16377,
2015-07,2015-07-10,0.16377,
2015-07,2015-07-13,0.16377,
2015-07,2015-07-14,0.194962,
2015-07,2015-07-15,0.194962,
